UTS Longitude Latitude
1201966568 39.92123 116.51172
1201967168 39.93883 116.51135
1201967168 39.93883 116.51135
1201967768 39.91034 116.51627
1201968368 39.91248 116.47186
1201968968 39.92498 116.47217
1201969568 39.90718 116.47179
1201970168 39.90531 116.45617
1201971624 39.90577 116.47191
1201972224 39.9145 116.50661
1201984234 39.9146 116.49625
1201984833 39.91071 116.50962
1201985433 39.91588 116.52231
1201985433 39.91588 116.52231
1201986033 39.91445 116.56444
1201986633 39.90798 116.59512
1201987833 39.8622 116.65522
1201988433 39.85165 116.69164
1201989033 39.85166 116.69167
1201990232 39.85168 116.69168
1201990832 39.85167 116.69168
1201991432 39.85169 116.69167
1201992033 39.85172 116.69167
1201992633 39.85174 116.69167
1201993232 39.85175 116.69167
1201993832 39.85176 116.69167
1201994432 39.85208 116.69172
1201994432 39.85208 116.69172
1201995032 39.85199 116.69172
1201995632 39.85196 116.69171
1201996232 39.85182 116.69171
1201996832 39.85184 116.69171
1201997432 39.85184 116.6917
1201998032 39.85184 116.6917
1201998632 39.85146 116.69168
1201999232 39.85165 116.69172
1201999832 39.85165 116.69176
1202000432 39.85163 116.69168
1202001032 39.85159 116.69166
1202002831 39.85186 116.69164
1202003431 39.85196 116.69167
1202004032 39.85167 116.69167
1202005286 39.85183 116.69176
1202005831 39.85174 116.69173
1202007032 39.85179 116.69172
1202007632 39.85176 116.69171
1202008231 39.85176 116.6917
1202008831 39.85165 116.69164
1202009431 39.85181 116.69155
1202010031 39.8518 116.69158
1202010631 39.85141 116.69156
1202011231 39.85155 116.69161
1202011831 39.85161 116.69156
1202011831 39.85161 116.69156
1202012431 39.85156 116.6916
1202013031 39.85176 116.6918
1202013631 39.85177 116.69179
1202014231 39.85176 116.69176
1202014831 39.85175 116.69177
1202015430 39.85211 116.69157
1202016030 39.85157 116.69162
1202016630 39.85158 116.69162
1202017230 39.8516 116.69161
1202017831 39.85178 116.69138
1202018431 39.85166 116.69156
1202019030 39.85191 116.69129
1202019630 39.85176 116.69172
1202020830 39.85173 116.69165
1202021430 39.85142 116.69169
1202022030 39.85158 116.69164
1202022630 39.85163 116.69162
1202023230 39.85166 116.69161
1202024430 39.85188 116.69184
1202025030 39.85161 116.69165
1202026229 39.85163 116.6917
1202027429 39.85166 116.69171
1202028029 39.85168 116.69169
1202028630 39.85165 116.69169
1202029230 39.85163 116.69169
1202029829 39.85161 116.69169
1202030429 39.85106 116.69172
1202031029 39.85133 116.6917
1202031629 39.85165 116.69171
1202032230 39.85179 116.69165
1202032829 39.85173 116.69167
1202033429 39.8517 116.69156
1202034029 39.85171 116.69157
1202034629 39.85167 116.69285
1202035229 39.88563 116.65945
1202035829 39.9057 116.6174
1202036429 39.91297 116.57833
1202037029 39.91501 116.54256
1202037628 39.90905 116.51629
1202038229 39.90693 116.49705
1202038829 39.90566 116.43653
1202039429 39.87495 116.45075
1202040029 39.88319 116.45551
1202063714 39.91108 116.58425
1202064314 39.90534 116.62556
1202064314 39.90534 116.62556
1202064914 39.90953 116.63713
1202065514 39.88708 116.65749
1202066114 39.8516 116.69302
1202066714 39.85161 116.69149
1202067314 39.85161 116.6915
1202067914 39.85162 116.69152
1202068514 39.85162 116.69154
1202069114 39.85164 116.69155
1202069713 39.85165 116.69155
1202070313 39.85166 116.69155
1202070913 39.85166 116.69156
1202071513 39.85165 116.69156
1202072114 39.85193 116.69151
1202072714 39.85168 116.69159
1202073313 39.85162 116.69159
1202073313 39.85162 116.69159
1202074513 39.85195 116.69161
1202075113 39.8518 116.69164
1202075714 39.8517 116.69159
1202076314 39.85174 116.69162
1202076913 39.85172 116.6916
1202077513 39.85175 116.6916
1202078113 39.85178 116.69161
1202078713 39.85179 116.6916
1202079313 39.85181 116.6916
1202080512 39.85181 116.6916
1202080512 39.85181 116.6916
1202081112 39.85195 116.69163
1202081713 39.85173 116.69159
1202081713 39.85173 116.69159
1202082312 39.85175 116.69158
1202082913 39.85177 116.6916
1202083513 39.85172 116.69161
1202084112 39.85174 116.69163
1202084712 39.85173 116.69164
1202085312 39.8517 116.69167
1202085912 39.85169 116.69174
1202086513 39.85159 116.69162
1202087113 39.8516 116.69162
1202087712 39.85158 116.69162
1202088312 39.85158 116.69162
1202088912 39.85161 116.69162
1202089512 39.85188 116.69159
1202090112 39.85182 116.69162
1202090712 39.85176 116.69162
1202091312 39.8518 116.69169
1202091911 39.85172 116.69169
1202092511 39.85159 116.69163
1202093111 39.85167 116.69163
1202093712 39.85168 116.69164
1202094312 39.85169 116.69164
1202094911 39.85169 116.69164
1202095511 39.85168 116.69163
1202096111 39.85168 116.69163
1202096711 39.85169 116.69162
1202097312 39.85169 116.69162
1202097912 39.85169 116.69161
1202098511 39.85169 116.6916
1202099111 39.8517 116.6916
1202099711 39.8517 116.6916
1202100311 39.85171 116.69161
1202100911 39.85128 116.69159
1202101511 39.85171 116.69171
1202102111 39.85158 116.69166
1202102711 39.8516 116.69164
1202103311 39.85163 116.6916
1202103911 39.85164 116.69156
1202104511 39.85165 116.69155
1202105111 39.85166 116.69149
1202105710 39.85179 116.6915
1202106310 39.85196 116.6913
1202106910 39.85192 116.69141
1202107510 39.85164 116.69158
1202108111 39.85168 116.69158
1202108111 39.85168 116.69158
1202108711 39.8518 116.69139
1202109310 39.85167 116.6916
1202109910 39.85173 116.69162
1202110510 39.85174 116.69161
1202111110 39.85173 116.69162
1202111711 39.85141 116.69152
1202112311 39.85185 116.69165
1202112910 39.85176 116.69161
1202113510 39.85176 116.69163
1202114110 39.85172 116.69162
1202114710 39.8516 116.69163
1202115310 39.85156 116.69163
1202115910 39.85154 116.69163
1202116509 39.85152 116.69163
1202117109 39.85156 116.69159
1202117710 39.85166 116.69162
1202118309 39.85186 116.69163
1202118910 39.85185 116.69162
1202119510 39.85171 116.69162
1202120109 39.87709 116.67003
1202120709 39.9044 116.63086
1202121309 39.9129 116.57792
1202121909 39.915 116.53787
1202122509 39.90916 116.50839
1202123109 39.90679 116.5094
1202146101 39.91397 116.47511
1202146101 39.91397 116.47511
1202146701 39.9155 116.51175
1202147301 39.90887 116.51672
1202159319 39.85151 116.69169
1202159918 39.85204 116.69159
1202160517 39.85187 116.69158
1202161117 39.85178 116.69162
1202161717 39.85176 116.69161
1202162918 39.85179 116.6916
1202163518 39.85178 116.69158
1202164117 39.85179 116.69157
1202164717 39.85181 116.69157
1202165317 39.85182 116.69157
1202165917 39.85182 116.69157
1202166517 39.85182 116.69157
1202167117 39.85182 116.69157
1202167717 39.85145 116.69152
1202168317 39.85155 116.6915
1202168917 39.85184 116.69145
1202170116 39.85179 116.69153
1202170717 39.85167 116.69163
1202171317 39.85162 116.6916
1202171916 39.85202 116.69177
1202172516 39.85171 116.69166
1202173117 39.85172 116.69162
1202173717 39.85169 116.69161
1202174316 39.85125 116.69156
1202174916 39.85164 116.69165
1202175516 39.85172 116.69154
1202176116 39.85175 116.69157
1202176717 39.85171 116.69168
1202179116 39.85156 116.69194
1202179716 39.85159 116.69186
1202180316 39.85161 116.69182
1202180316 39.85161 116.69182
1202180916 39.85145 116.69166
1202181515 39.85163 116.69163
1202182115 39.85169 116.69163
1202183315 39.85161 116.69157
1202183916 39.85165 116.69155
1202184516 39.85166 116.69154
1202185715 39.85168 116.69153
1202186315 39.85171 116.69154
1202186915 39.85173 116.69154
1202187516 39.85173 116.69155
1202188116 39.85177 116.69153
1202188715 39.85165 116.69156
1202189315 39.85163 116.69113
1202189915 39.85148 116.69143
1202190515 39.85171 116.69168
1202191115 39.8517 116.69171
1202191715 39.8517 116.69162
1202192315 39.85185 116.69146
1202192915 39.85164 116.69156
1202193514 39.85182 116.69158
1202194115 39.85158 116.69158
1202194714 39.85166 116.69159
1202195315 39.85171 116.69157
1202195915 39.85173 116.69158
1202196514 39.85174 116.6916
1202197114 39.85175 116.69161
1202197714 39.85176 116.69162
1202197714 39.85176 116.69162
1202198314 39.85176 116.69162
1202198915 39.85177 116.69162
1202199515 39.85176 116.69162
1202200114 39.85166 116.69154
1202200714 39.85169 116.69155
1202201314 39.85172 116.69155
1202201914 39.85172 116.69156
1202202514 39.85169 116.69156
1202203114 39.85167 116.69157
1202203714 39.85152 116.6916
1202204314 39.85156 116.69159
1202204914 39.85251 116.69568
1202205514 39.89091 116.64668
1202206114 39.90881 116.59985
1202206714 39.91485 116.5531
1202207313 39.91468 116.49968
1202207913 39.91749 116.45678
1202208513 39.92573 116.43597
1202209113 39.91971 116.46352
1202209714 39.915 116.46515
1202209956 39.91569 116.45519
1202210314 39.9162 116.46086
1202210913 39.91413 116.4741
1202211513 39.9159 116.51525
1202223683 39.91441 116.49344
1202224282 39.92268 116.54716
1202224881 39.91537 116.52989
1202225481 39.92172 116.47556
1202226081 39.95203 116.45419
1202226681 39.94389 116.46794
1202227281 39.9797 116.44923
1202227881 39.99519 116.46175
1202227881 39.99519 116.46175
1202228481 39.96358 116.46455
1202229081 39.92281 116.45348
1202229681 39.92153 116.47822
1202230281 39.9139 116.46432
1202230881 39.92163 116.43523
1202231481 39.92234 116.43161
1202232081 39.90776 116.42843
1202232680 39.93528 116.4277
1202233281 39.9462 116.41563
1202233880 39.94799 116.43479
1202234481 39.98414 116.4546
1202235081 39.98753 116.46
1202235681 39.95789 116.48006
1202236281 39.92762 116.47179
1202236880 39.9147 116.50407
1202237480 39.90693 116.50337
1202249142 39.85164 116.69155
1202249741 39.8518 116.69155
1202250341 39.85179 116.69155
1202250941 39.85181 116.69156
1202251541 39.85183 116.69157
1202252141 39.85183 116.69157
1202252742 39.85183 116.69158
1202253342 39.85183 116.69159
1202253941 39.85183 116.69159
1202254541 39.85183 116.69159
1202255141 39.85182 116.69159
1202255141 39.85182 116.69159
1202255741 39.85182 116.69159
1202256341 39.85181 116.6916
1202256941 39.8518 116.6916
1202257541 39.85194 116.69185
1202258140 39.85189 116.69168
1202258741 39.85161 116.69142
1202259941 39.85169 116.69154
