UTS Latitude Longitude
1201961797 116.3851 39.8793
1201962098 116.38836 39.87947
1201963188 116.38335 39.86987
1201963490 116.4382 39.87224
1201963792 116.42941 39.90988
1201964093 116.43344 39.92303
1201964395 116.4411 39.91633
1201964697 116.42889 39.90589
1201966228 116.36601 39.87451
1201985846 116.35856 39.8748
1202046197 116.38992 39.9062
1202046481 116.38277 39.9059
1202047089 116.37848 39.89872
1202047391 116.37843 39.88889
1202047692 116.37922 39.88112
1202047994 116.39211 39.87843
1202048295 116.37096 39.86991
1202048596 116.36871 39.86978
1202049990 116.35759 39.87942
1202050291 116.36605 39.88779
1202050593 116.35789 39.87682
1202050895 116.34839 39.8611
1202051196 116.34758 39.87823
1202052101 116.30563 39.87338
1202053623 116.3069 39.93979
1202054226 116.33656 39.93107
1202054528 116.34856 39.93099
1202055131 116.36729 39.92049
1202056753 116.3152 39.90003
1202057356 116.29011 39.91725
1202057356 116.29011 39.91725
1202057658 116.30228 39.91144
1202057960 116.32729 39.90941
1202058261 116.33621 39.9057
1202058563 116.36604 39.90578
1202058865 116.38928 39.90607
1202059166 116.40739 39.90672
1202059468 116.42857 39.90717
1202059770 116.44433 39.90686
1202060071 116.45448 39.90347
1202126052 116.45589 39.93471
1202130820 116.42567 39.85981
1202131115 116.41897 39.86432
1202131416 116.41165 39.85601
1202131718 116.40774 39.86081
1202132019 116.41546 39.86987
1202397633 116.49625 39.91479
1202397935 116.48321 39.90356
1202399567 116.42786 39.88296
1202399869 116.41268 39.89156
1202400170 116.39363 39.89797
1202400472 116.37223 39.89856
1202400774 116.35637 39.89814
1202401075 116.34104 39.90514
1202401679 116.35446 39.90577
1202401981 116.36915 39.90945
1202402281 116.36248 39.9127
1202402765 116.35943 39.92372
1202403067 116.35794 39.93876
1202475675 116.39663 39.94758
1202479916 116.33213 39.89616
1202480217 116.31485 39.88611
