UTS Latitude Longitude
1372637106 41.180517 -8.645949
1372637121 41.180049 -8.646048
1372637136 41.178888 -8.646804
1372637151 41.178465 -8.649495
1372637166 41.177961 -8.65215
1372637181 41.177196 -8.654049
1372637196 41.177925 -8.655012
1372637211 41.177853 -8.656353
1372637226 41.177277 -8.659647
1372637241 41.177619 -8.662518
1372637256 41.179221 -8.664561
1372637271 41.178537 -8.667432
1372637286 41.176674 -8.668944
1372637301 41.17518 -8.671374
1372637316 41.173308 -8.673894
1372637331 41.171841 -8.676918
1372637346 41.171949 -8.680032
1372637361 41.173191 -8.682615
1372637376 41.173776 -8.685441
1372637391 41.17365 -8.688105
1372637406 41.174379 -8.688879
1372637421 41.17608 -8.689059
1372637436 41.176431 -8.689086
1372637451 41.176593 -8.689059
1372637466 41.176755 -8.687502
1372637481 41.177781 -8.687259
1372637496 41.178078 -8.687259
1372637511 41.178087 -8.687268
