UTS Latitude Longitude
1232224057 47.66748333 -122.1070833
1232224058 47.6675 -122.1070667
1232224059 47.6675 -122.1070667
1232224060 47.66751667 -122.1070333
1232224061 47.66753333 -122.1069833
1232224062 47.66753333 -122.1069167
1232224063 47.66751667 -122.1068333
1232224064 47.66751667 -122.1067333
1232224065 47.66751667 -122.1066
1232224066 47.66751667 -122.1064667
1232224067 47.66751667 -122.1063333
1232224068 47.66751667 -122.1062
1232224069 47.66751667 -122.1060667
1232224070 47.66751667 -122.10595
1232224071 47.66751667 -122.1058333
1232224072 47.66751667 -122.1057
1232224073 47.66751667 -122.1055833
1232224074 47.66751667 -122.1054667
1232224075 47.66751667 -122.10535
1232224076 47.66751667 -122.1052167
1232224077 47.66751667 -122.1051
1232224078 47.66751667 -122.105
1232224079 47.66753333 -122.1048667
1232224080 47.66753333 -122.10475
1232224081 47.66753333 -122.1046167
1232224082 47.66753333 -122.1044833
1232224083 47.66753333 -122.1043333
1232224084 47.66753333 -122.1041833
1232224085 47.66753333 -122.1040333
1232224086 47.66753333 -122.1038667
1232224087 47.66753333 -122.1036667
1232224088 47.66753333 -122.1034667
1232224089 47.66753333 -122.1032667
1232224090 47.66751667 -122.1030833
1232224091 47.66751667 -122.1029167
1232224092 47.66751667 -122.10275
1232224093 47.66751667 -122.1026333
1232224094 47.66751667 -122.1025167
1232224095 47.66753333 -122.1024167
1232224096 47.66753333 -122.1023333
1232224097 47.66755 -122.1022833
1232224098 47.66755 -122.1022667
1232224099 47.66755 -122.1022667
1232224100 47.66755 -122.1022667
1232224101 47.66755 -122.1022667
1232224102 47.66755 -122.1022667
1232224103 47.66755 -122.1022667
1232224104 47.66755 -122.1022667
1232224105 47.66755 -122.1022667
1232224106 47.66755 -122.1022667
